block_start,block_end,average_distance
1,13,0.41926123046875
2,14,0.40767529296875
3,15,0.38791748046875
4,16,0.3873701171875
5,17,0.3814072265625
6,18,0.382771484375
7,19,0.38168505859375
8,20,0.37841162109375
9,21,0.37981884765625
10,22,0.38220703125
11,23,0.38757958984375
12,24,0.3907529296875
13,25,0.3876025390625
14,26,0.37757177734375
15,27,0.3729921875
16,28,0.36069677734375
17,29,0.3544619140625
18,30,0.34087646484375
19,31,0.34755029296875
20,32,0.42601904296875
